"id","unique_order_id","user_id","kasir_id","admin_id","cs_id","ticket_id","wahana_id","travelagent_id","sistercompany_id","reservator_id","no_telp","location_id","type_ticket","type_reservation","event_id","block_venue","note","quantity","total","paid_amount","payment_method","bank_code","phone_ovo","description","status","tgl_paid","time_paid","url_invoice","order_via","start_end","booking_date","booking_time","start_time","end_time","prosentase","is_free","created_at","updated_at","synced"
1734388991712258,"06-012022-EP8Z1644042237",NULL,10,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,7,"ENTRANCE",NULL,NULL,NULL,NULL,2,40000.00,NULL,"TUNAI",NULL,NULL,NULL,"PAID","2022-06-01",NULL,NULL,"kasir","07:00:00-20:59:59","2022-06-01",NULL,"07:00:00","20:59:59",NULL,NULL,"2022-06-01 07:10:36","2022-06-01 07:10:36",0
1734393297558132,"06-012022-FTVA1644046343",NULL,10,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,7,"ENTRANCE",NULL,NULL,NULL,NULL,23,460000.00,NULL,"TUNAI",NULL,NULL,NULL,"PAID","2022-06-01",NULL,NULL,"kasir","07:00:00-20:59:59","2022-06-01",NULL,"07:00:00","20:59:59",NULL,NULL,"2022-06-01 08:19:02","2022-06-01 08:19:02",0
1734395022209511,"06-012022-KRT91644047988",NULL,10,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,7,"ENTRANCE",NULL,NULL,NULL,NULL,2,40000.00,NULL,"TUNAI",NULL,NULL,NULL,"PAID","2022-06-01",NULL,NULL,"kasir","07:00:00-20:59:59","2022-06-01",NULL,"07:00:00","20:59:59",NULL,NULL,"2022-06-01 08:46:27","2022-06-01 08:46:27",0
1734395624824617,"06-012022-IKWE1644048562",NULL,10,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,7,"ENTRANCE",NULL,NULL,NULL,NULL,6,120000.00,NULL,"EDC_MANDIRI",NULL,NULL,NULL,"PAID","2022-06-01",NULL,NULL,"kasir","07:00:00-20:59:59","2022-06-01",NULL,"07:00:00","20:59:59",NULL,NULL,"2022-06-01 08:56:01","2022-06-01 08:56:01",0
1734395662745391,"06-012022-1H8T1644048599",NULL,10,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,7,"ENTRANCE",NULL,NULL,NULL,NULL,3,60000.00,NULL,"TUNAI",NULL,NULL,NULL,"PAID","2022-06-01",NULL,NULL,"kasir","07:00:00-20:59:59","2022-06-01",NULL,"07:00:00","20:59:59",NULL,NULL,"2022-06-01 08:56:38","2022-06-01 08:56:38",0
1734395863520303,"06-012022-GEE61644048790",NULL,10,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,7,"ENTRANCE",NULL,NULL,NULL,NULL,3,60000.00,NULL,"TUNAI",NULL,NULL,NULL,"PAID","2022-06-01",NULL,NULL,"kasir","07:00:00-20:59:59","2022-06-01",NULL,"07:00:00","20:59:59",NULL,NULL,"2022-06-01 08:59:49","2022-06-01 08:59:49",0
1734396841465212,"06-012022-PPW61644049723",NULL,10,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,7,"ENTRANCE",NULL,NULL,NULL,NULL,1,20000.00,NULL,"TUNAI",NULL,NULL,NULL,"PAID","2022-06-01",NULL,NULL,"kasir","07:00:00-20:59:59","2022-06-01",NULL,"07:00:00","20:59:59",NULL,NULL,"2022-06-01 09:15:22","2022-06-01 09:15:22",0
1734396867155493,"06-012022-2VUP1644049747",NULL,10,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,7,"ENTRANCE",NULL,NULL,NULL,NULL,13,260000.00,NULL,"TUNAI",NULL,NULL,NULL,"PAID","2022-06-01",NULL,NULL,"kasir","07:00:00-20:59:59","2022-06-01",NULL,"07:00:00","20:59:59",NULL,NULL,"2022-06-01 09:15:46","2022-06-01 09:15:46",0
1734397279357826,"06-012022-0CXF1644050140",NULL,10,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,7,"ENTRANCE",NULL,NULL,NULL,NULL,7,140000.00,NULL,"TUNAI",NULL,NULL,NULL,"PAID","2022-06-01",NULL,NULL,"kasir","07:00:00-20:59:59","2022-06-01",NULL,"07:00:00","20:59:59",NULL,NULL,"2022-06-01 09:22:19","2022-06-01 09:22:19",0
1734397314152998,"06-012022-8KZR1644050173",NULL,10,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,7,"ENTRANCE",NULL,NULL,NULL,NULL,2,40000.00,NULL,"TUNAI",NULL,NULL,NULL,"PAID","2022-06-01",NULL,NULL,"kasir","07:00:00-20:59:59","2022-06-01",NULL,"07:00:00","20:59:59",NULL,NULL,"2022-06-01 09:22:52","2022-06-01 09:22:52",0
